Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
,,,,,,,,,,,,,,,,,,,
1,Indian Institute of Technology Madras,2024,18.5,30,17.29,30,34.95,34.37,14,9.78,29.74,15,19.34,16.98,21.57,14.88,9.4,20,100
,,,,,,,,,,,,,,,,,,,
2,Indian Institute of Technology Delhi,2024,18.5,23.18,15.61,28.41,35,37.63,13,6.56,33.05,13.06,20.93,17.49,24.05,14.07,7.27,20,98.53
,,,,,,,,,,,,,,,,,,,
3,Indian Institute of Technology Bombay,2024,18.5,25.58,16.91,25.36,31.61,32.52,13,7.06,32,13.93,19.99,18.87,19.25,14.89,4.53,20,91.13
,,,,,,,,,,,,,,,,,,,
4,Indian Institute of Technology Kanpur,2024,18.33,28.72,19.45,27.76,28.49,28.87,10,6.72,36.13,15,21.84,16.08,19.94,12.94,7.74,20,84.19
,,,,,,,,,,,,,,,,,,,
5,Indian Institute of Technology Kharagpur,2024,19.76,21.5,14.79,22.17,30.68,34.86,10,3.75,24.3,13.99,20.87,20,21.87,11.93,4.02,20,80.26
,,,,,,,,,,,,,,,,,,,
6,Indian Institute of Technology Roorkee,2024,17.66,23.13,15.28,21.67,30.25,33.2,7,4.25,37.74,15,20.17,14.44,23.72,12.64,5.84,20,65.79
,,,,,,,,,,,,,,,,,,,
7,Indian Institute of Technology Guwahati,2024,18.32,24.57,13.71,20.22,29.8,29.68,3,5.58,32.2,14.94,21.63,15.71,24.79,11.94,2.84,20,55.38
,,,,,,,,,,,,,,,,,,,
8,Indian Institute of Technology Hyderabad,2024,12.41,30,19.49,26.83,25.51,23.82,3,5.18,33.08,15,20.79,9.01,17.52,12.57,5.6,20,65.31
,,,,,,,,,,,,,,,,,,,
9,National Institute of Technology Tiruchirappalli,2024,17.5,19.31,13.02,19.87,25.31,25.66,4.5,1.55,35,15,17.34,11.35,16.71,18.19,8.22,20,68.07
,,,,,,,,,,,,,,,,,,,
10,Indian Institute of Technology (Banaras Hindu University) Varanasi,2024,16.28,18.79,13.13,18.06,24.33,27.64,6,2.19,36.48,14.98,20.43,12.9,17.96,10.7,9.23,20,60.05
,,,,,,,,,,,,,,,,,,,
11,Vellore Institute of Technology,2024,20,22.18,13.86,9.49,27.5,37.24,7,0.2,28.72,15,13.37,12.31,19.47,22.17,0.11,20,49.28
,,,,,,,,,,,,,,,,,,,
12,Jadavpur University,2024,18.5,27.77,17.37,14.6,27.28,27.04,2.5,2.66,33.89,15,15.2,12.46,5.07,18.53,5.29,20,41.13
,,,,,,,,,,,,,,,,,,,
13,S.R.M. Institute of Science and Technology,2024,18.04,30,16.92,13.16,27.61,31.83,9,0.26,30.37,13.92,10.03,10.29,20.88,24.88,1.1,20,17.57
,,,,,,,,,,,,,,,,,,,
14,Anna University,2024,15.94,23.77,13.24,12.99,28.56,31.78,9,1.97,24.72,13.53,11.74,13.43,0.74,24.5,3.43,20,65.97
,,,,,,,,,,,,,,,,,,,
15,Indian Institute of Technology (Indian School of Mines) Dhanbad,2024,15.43,23.35,15.59,19.02,27.4,29.33,2.25,1.93,31.21,12.69,17.86,14.18,20.44,11.62,7.78,20,33.72
,,,,,,,,,,,,,,,,,,,
16,Indian Institute of Technology Indore,2024,10.73,30,18.01,21.05,24.71,24.7,2.25,3.56,30.64,15,20.22,9.96,20.09,14.12,6.46,20,29.9
,,,,,,,,,,,,,,,,,,,
17,National Institute of Technology Karnataka  Surathkal,2024,17.5,20.02,13,24.14,22.15,21.45,2.5,2.93,34.55,15,17.18,11.7,16.94,16.02,9.34,20,52.37
,,,,,,,,,,,,,,,,,,,
18,Indian Institute of Technology Gandhinagar,2024,11.5,30,19.8,27.09,18.13,16.38,2,5.69,30.19,15,17.47,7.66,22.52,18.53,4.52,20,36.08
,,,,,,,,,,,,,,,,,,,
19,National Institute of Technology Rourkela,2024,17.5,24.98,16.27,17.73,26,26.49,2.5,2.01,31.45,15,15.17,11.63,15.69,14.48,9.25,20,27.38
,,,,,,,,,,,,,,,,,,,
20,Birla Institute of Technology and Science Pilani,2024,17.87,23.57,15.49,16.26,23.1,26.09,2.5,0.81,37.35,15,19.62,7.51,21.04,17.09,0.01,20,36.28
,,,,,,,,,,,,,,,,,,,
21,National Institute of Technology Warangal,2024,16.5,24.8,16.34,19.35,22.36,22.65,2.25,0.99,32.93,15,17.84,9.5,14.57,16.39,7.08,20,32.9
,,,,,,,,,,,,,,,,,,,
22,Indian Institute of Technology Ropar,2024,12.41,26.58,16.6,21.72,20.26,19.53,2.5,4.11,32.24,15,19.5,6.85,22.71,14.33,8.1,20,32.06
,,,,,,,,,,,,,,,,,,,
23,Amrita Vishwa Vidyapeetham,2024,16.22,29.05,18.13,14.65,22.18,20.77,4.5,2.13,36.47,15,10.72,3.09,16.05,21.43,5,20,37.03
,,,,,,,,,,,,,,,,,,,
24,Jamia Millia Islamia,2024,10.5,26.42,14.58,14.99,27.74,26.85,1.25,2.92,38.51,15,13.69,8.26,23.37,13.41,10.07,20,19.33
,,,,,,,,,,,,,,,,,,,
25,National Institute of Technology Calicut,2024,16,26.51,16.93,17.92,17.59,16.41,2.5,1.09,38.01,15,15.84,10.62,15.03,23,9.9,20,40.1
,,,,,,,,,,,,,,,,,,,
26,Siksha `O` Anusandhan,2024,17.5,30,16.96,17.62,17.37,19.18,5,0.89,31.46,15,9.88,9.91,22.23,30,1.4,20,30.12
,,,,,,,,,,,,,,,,,,,
27,Delhi Technological University,2024,19,30,11.59,12.5,20.49,21.99,0.75,0.64,37.12,15,17.24,6.81,13.98,18.73,2.86,20,49
,,,,,,,,,,,,,,,,,,,
28,Indian Institute of Technology Jodhpur,2024,12.53,30,18.39,26.13,17.32,17.75,1,4.17,35.43,15,18.27,3.56,19.62,20.45,6.17,20,13.5
,,,,,,,,,,,,,,,,,,,
29,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2024,18.23,23.33,14.21,14.98,21.35,27.76,2,0.58,33.89,15,15.24,9.45,17.22,25.14,1.66,20,24.95
,,,,,,,,,,,,,,,,,,,
30,Amity University,2024,16.47,30,15.91,12.83,25.59,24.28,9,0.65,30.1,15,9.95,6.67,18.04,24.96,0.28,20,8.23
,,,,,,,,,,,,,,,,,,,
31,Indian Institute of Technology Mandi,2024,9.79,26.28,17.75,21.07,18.9,18.29,2.5,2.11,36.32,13.5,21.37,7.85,23.07,19.08,8.36,20,19.9
,,,,,,,,,,,,,,,,,,,
32,Chandigarh University,2024,17.95,30,16.34,11.92,16.24,20.19,9,0.32,28.65,15,12.91,9.65,23.6,30,1.95,20,24.19
,,,,,,,,,,,,,,,,,,,
33,Aligarh Muslim University,2024,11,30,17.68,16.79,26.43,25.97,4.25,2.03,32.73,13.05,11.09,6.24,5.61,12.17,3.45,20,21.83
,,,,,,,,,,,,,,,,,,,
34,Indian Institute of Technology Patna,2024,12.02,20.67,13.68,20.84,22.18,21.15,2.25,3.83,33.92,14.27,20.74,8.8,18.31,9.61,5.08,20,25.69
,,,,,,,,,,,,,,,,,,,
35,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2024,17.47,30,17.63,9.75,20.77,20.39,6,0.36,28.63,15,12.06,9.72,15.28,29.67,1.36,20,18.17
,,,,,,,,,,,,,,,,,,,
36,Kalasalingam Academy of Research and Education,2024,16.48,30,18.58,13.62,15.35,17.92,5,0.53,36.27,15,11.07,9.22,19.04,30,7.09,20,10.42
,,,,,,,,,,,,,,,,,,,
37,Kalinga Institute of Industrial Technology,2024,20,26.6,16.79,14.67,15.88,18.47,8,0.64,23.59,15,11.63,11.82,26.01,29.96,0.33,20,16.36
,,,,,,,,,,,,,,,,,,,
38,Shanmugha Arts Science Technology and Research Academy,2024,16.32,30,17.95,14.15,15.47,19.27,2.25,2.31,34.86,15,12.57,9.67,14.25,28.22,4.74,20,15.11
,,,,,,,,,,,,,,,,,,,
39,Visvesvaraya National Institute of Technology Nagpur,2024,13.94,26.24,17.47,17.07,17.56,16.91,6.5,2.39,35.49,15,15.62,7.79,11.95,20.22,3.45,20,21.28
,,,,,,,,,,,,,,,,,,,
40,National Institute of Technology Silchar,2024,14.35,22.14,14.98,15.66,24.45,23.65,4.5,1.22,33.97,15,15.91,8.18,13.18,16.15,7.53,20,10.06
,,,,,,,,,,,,,,,,,,,
41,Institute of Chemical Technology,2024,10.37,24.3,16.66,19.9,18.07,19.7,7,4.31,29.64,15,13.06,9.04,6.66,24.13,3.4,20,20.74
,,,,,,,,,,,,,,,,,,,
42,UPES,2024,15.5,26.03,15.61,15.98,22.92,24.99,4,0.28,24.87,15,10.64,0.6,20.83,21.8,0.08,20,25.69
,,,,,,,,,,,,,,,,,,,
43,Malaviya National Institute of Technology,2024,14.97,23.94,15.75,14.59,22.8,22.92,1.25,1.7,31.3,15,14.89,8.23,12.68,19.53,7.55,20,11.12
,,,,,,,,,,,,,,,,,,,
44,National Institute of Technology Durgapur,2024,14.09,23.65,16.12,16.56,18.45,17.92,0.75,1.59,38.71,15,14.89,9.45,14.74,14.44,9.8,20,20.18
,,,,,,,,,,,,,,,,,,,
45,National Institute of Technology Delhi,2024,7.96,30,19.59,19.64,14.91,13.8,0.5,0.96,32.6,15,17.27,2.76,20.57,25.11,11.86,20,21.83
,,,,,,,,,,,,,,,,,,,
46,Sri Sivasubramaniya Nadar College of Engineering,2024,13.5,26.94,15.12,14.37,20.29,19.28,1,0.75,35.06,15,12.57,6.71,4.12,25.67,7.31,20,20.46
,,,,,,,,,,,,,,,,,,,
47,International Institute of Information Technology Hyderabad,2024,9.33,22.86,15.64,17.63,18.7,16.32,1.5,4.37,27.16,12.03,25,2.71,20.96,19.48,2.7,20,26.9
,,,,,,,,,,,,,,,,,,,
48,Birla Institute of Technology,2024,13.49,29.9,17.05,15.49,18.69,18.23,1.25,1.04,27.47,14.72,14.88,5.43,11.99,19.05,1.41,20,19.04
,,,,,,,,,,,,,,,,,,,
49,Indian Institute of Engineering Science and Technology Shibpur,2024,12.26,21.69,13.92,16.14,19.27,18.03,1.25,1.07,34.06,14.31,13.21,10.69,11.12,16.16,7.18,20,31.85
,,,,,,,,,,,,,,,,,,,
50,Lovely Professional University,2024,18,21.78,12.22,7.41,16.53,23.41,13,0.08,26.55,15,11.47,4.75,24.81,19.39,2.9,20,21.83
,,,,,,,,,,,,,,,,,,,
51,Indian Institute of Space Science and Technology,2024,8.95,30,16.44,22.43,11.54,10.06,1,0.92,33.23,14.07,15.87,3.72,18.49,17.97,4.63,20,32.27
,,,,,,,,,,,,,,,,,,,
52,Graphic Era University,2024,12.7,26.11,14.25,13.33,17.13,17.69,8,0.59,22.76,14.59,11.31,3.09,17.99,27.14,0.44,20,30.99
,,,,,,,,,,,,,,,,,,,
53,Saveetha Institute of Medical and Technical Sciences,2024,13.18,28.45,19.47,9.64,27.22,27.58,5,0.2,10.58,14.42,8.61,2.06,15.86,23.64,4.63,20,0.9
,,,,,,,,,,,,,,,,,,,
54,Indian Institute of Technology Bhubaneswar,2024,11.15,16.88,11.74,18.84,16.03,16.83,0.75,2.27,34.76,15,18.56,6.64,21.86,9.87,6.62,20,33.72
,,,,,,,,,,,,,,,,,,,
55,National Institute of Technology Patna,2024,12.35,20.29,13.73,14.54,20.08,21.08,1.5,1.21,37.86,15,14.34,6.95,10.1,11.45,8.25,20,10.42
,,,,,,,,,,,,,,,,,,,
56,Manipal Institute of Technology,2024,15.12,27.16,14.39,10.92,16.35,19.98,1,0.12,24.46,15,13.33,4.79,18.02,21.07,1.14,20,30.56
,,,,,,,,,,,,,,,,,,,
57,Netaji Subhas University of Technology (NSUT),2024,15.04,29.13,15.34,12.13,10.92,13.53,1,0.35,33.87,15,18.85,7.22,9.57,19.21,0.98,20,23.16
,,,,,,,,,,,,,,,,,,,
58,Dr. B R Ambedkar National Institute of Technology Jalandhar,2024,14.1,27.63,13.33,12.1,16.39,18.7,2,0.27,26.39,13.52,13.66,6.57,12.47,20.37,7.37,20,16.97
,,,,,,,,,,,,,,,,,,,
59,Sardar Vallabhbhai National Institute of Technology,2024,12.96,21.27,13.88,14.91,18.32,18,2.25,1.05,31.87,14.6,13.66,6.88,11.81,18.64,4.43,20,13.5
,,,,,,,,,,,,,,,,,,,
60,Motilal Nehru National Institute of Technology,2024,16.01,15.21,10.56,16.74,16.55,17.13,1.5,1.4,34.91,15,17.22,7.94,13.08,11.45,8.41,20,18.17
,,,,,,,,,,,,,,,,,,,
61,Indian Institute of Technology Tirupati,2024,8.32,30,17.4,23.35,8.01,9.6,0.5,2.6,32.7,13.77,17.01,0.6,14.63,10.91,7.56,20,25.2
,,,,,,,,,,,,,,,,,,,
62,Indian Institute of Technology Jammu,2024,7.98,29.89,17.91,23.66,11.38,12.6,0,3.29,26.2,14.5,17.86,1.43,20.11,9.25,3.51,20,12.16
,,,,,,,,,,,,,,,,,,,
63,Defence Institute of Advanced Technology,2024,4.86,30,18.15,21.08,13.89,13.45,1,7.09,22.86,10.95,20.67,2.42,13.66,22.93,0,20,4.73
,,,,,,,,,,,,,,,,,,,
64,Indian Institute of Technology Palakkad,2024,7.17,30,16.52,21.19,9.1,8.79,0.5,2.99,30.26,15,16.55,1.1,19.03,20.78,5.63,20,22.36
,,,,,,,,,,,,,,,,,,,
65,Manipal University Jaipur,2024,14.67,29.39,16.48,10.01,14.79,16.28,6,0.4,25.03,15,11.24,1.16,22.52,26.16,0.09,20,4.73
,,,,,,,,,,,,,,,,,,,
66,Sathyabama Institute of Science and Technology,2024,16.53,26.04,14.11,10.06,16.77,16.85,4,0.56,22.69,13.33,9.15,6.17,22.74,27.08,0.52,20,12.83
,,,,,,,,,,,,,,,,,,,
67,PSG College of Technology,2024,14.62,28.89,14.8,9.88,10.12,11.93,2.25,0.26,30.04,15,11.63,3.31,0.94,23.95,1.88,20,54.15
,,,,,,,,,,,,,,,,,,,
68,National Institute of Technology Meghalaya,2024,6.64,29.59,17.9,17.79,15.88,13.56,0.5,2.15,30.49,12.9,14.13,3.36,11.02,18.73,11.14,20,3.49
,,,,,,,,,,,,,,,,,,,
69,Visvesvaraya Technological University,2024,7.27,20.17,11.25,22.58,24.88,19.73,2.5,0.94,31.45,14.78,9.25,2.71,0.06,25.26,1.29,20,7.1
,,,,,,,,,,,,,,,,,,,
70,University of Hyderabad,2024,4.9,28.81,18.26,13.93,26.04,21.53,0.5,2.66,18.22,8.41,12.18,5.94,7.56,19.32,0,20,6.72
,,,,,,,,,,,,,,,,,,,
71,National Institute of Technology Raipur,2024,13.94,19.01,12.76,12.12,18.69,19.36,2.25,0.5,29.05,15,14.17,7.76,11.92,16.48,8.56,20,3.91
,,,,,,,,,,,,,,,,,,,
72,Maulana Azad National Institute of Technology,2024,15.01,17.58,12.32,12.84,14.61,16.54,2.25,0.81,33.93,15,16,5.34,12.28,18.45,9.89,20,11.47
,,,,,,,,,,,,,,,,,,,
73,Indian Institute of Technology Bhilai,2024,6.36,29.97,17.45,22.94,6.65,7.74,0,5.54,32.6,15,17.43,0.67,22.56,9.22,7.42,20,7.48
,,,,,,,,,,,,,,,,,,,
74,International Institute of Information Technology Bangalore,2024,8.43,19.13,12.08,26.85,8.97,5.67,0.5,7.77,29.44,15,22.68,1.3,23.28,15.65,0,20,22.1
,,,,,,,,,,,,,,,,,,,
75,M. S. Ramaiah Institute of Technology,2024,14.4,27.13,14.99,11.44,10.98,10.98,3,0.3,33.63,15,12.06,1.94,9.15,24.86,1.99,20,22.36
,,,,,,,,,,,,,,,,,,,
76,Sant Longowal Institute of Engineering and Technology,2024,10,30,15.75,23,11.01,13.84,0.5,0.1,23.07,14.63,8.57,3.09,23.84,19.16,2.02,20,5.93
,,,,,,,,,,,,,,,,,,,
77,COEP Technological University,2024,11.5,23.09,11.55,18.82,9.25,7.65,2,2.59,35.21,15,14.6,2.42,2.48,23.84,5.29,20,33.51
,,,,,,,,,,,,,,,,,,,
78,Banasthali Vidyapith,2024,10.68,26.54,16.03,11.54,8.3,11.04,1,0.65,37.91,15,12.93,7.82,17.77,30,4.39,20,1.78
,,,,,,,,,,,,,,,,,,,
79,National Institute of Technology Srinagar,2024,12.79,19.55,12.92,17.34,13.52,14.35,1.25,1.07,30.93,15,14.02,7.22,12.35,15.62,10.64,20,6.33
,,,,,,,,,,,,,,,,,,,
80,Rajiv Gandhi Institute of Petroleum Technology,2024,8,30,17.29,22.26,3.78,8.03,0.5,1.95,37.47,15,13.69,2.93,18.73,18.38,2.67,20,0.9
,,,,,,,,,,,,,,,,,,,
81,National Institute of Technology Kurukshetra,2024,14.63,12.63,7.85,14.78,15.72,18.72,2.5,0.82,30.43,15,15.55,4.88,13.94,11.45,7.24,20,20.74
,,,,,,,,,,,,,,,,,,,
82,National Institute of Technology Agartala,2024,12.59,18.79,12.22,19.96,11.34,13.31,0.75,0.21,33.25,14.2,12.71,5.43,12.06,18.54,8.25,20,9.34
,,,,,,,,,,,,,,,,,,,
83,Sri Krishna College of Engineering and Technology,2024,13.5,26.73,12.49,13.32,9.92,10.38,3,0.2,37.42,15,10.84,0.6,1.43,22.88,3.38,20,21.28
,,,,,,,,,,,,,,,,,,,
84,Madan Mohan Malaviya University of Technology,2024,13.22,30,19.26,10.63,9.44,10.92,0.25,0.8,23.32,15,11.42,3.86,11.43,27.87,10.28,20,3.49
,,,,,,,,,,,,,,,,,,,
85,Indraprastha Institute of Information Technology,2024,11.7,15.88,11.03,15.69,14.81,13.44,0.25,3.16,33.03,15,19.67,4.01,11.68,12.41,0.25,20,17.57
,,,,,,,,,,,,,,,,,,,
86,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,2024,15.13,26.99,14.21,5.47,14.7,16.06,6,0.22,21.19,14.11,8.53,1.03,22.26,20.19,6.69,20,7.1
,,,,,,,,,,,,,,,,,,,
87,Indian Institute of Information Technology Allahabad,2024,10.54,14.68,10.11,11.64,11.46,11.67,1,0.81,36.51,15,23.63,5.47,18.83,12.18,3.41,20,27.14
,,,,,,,,,,,,,,,,,,,
88,Jawaharlal Nehru Technological University,2024,14.5,22.45,11.8,18.62,10.03,11.11,0.25,2.3,29.62,14.35,10.55,2.48,4.2,25.79,6.49,20,14.15
,,,,,,,,,,,,,,,,,,,
89,Guru Gobind Singh Indraprastha University,2024,11,22.28,12.62,11.92,14.77,13.94,0.5,0.97,29.39,15,13.89,4.25,8.73,22.23,1.18,20,15.43
,,,,,,,,,,,,,,,,,,,
90,AU College of Engineering Visakhapatnam,2024,11.49,26.36,13.53,19.43,4.18,5.57,1,1.58,30.79,15,11.39,8.71,10.74,30,7.77,20,6.33
,,,,,,,,,,,,,,,,,,,
91,Vignan's Foundation for Science  Technology and Research,2024,14.65,30,15.6,6.63,8.35,10.87,3,0.35,24.64,15,10.39,4.52,11.07,26.89,6.41,20,12.49
,,,,,,,,,,,,,,,,,,,
92,Shoolini University of Biotechnology and Management Sciences,2024,9.04,25.2,15.46,5.01,18.17,21.68,2.5,0.18,19.28,14.74,8.44,3.36,15.53,30,0.35,20,4.73
,,,,,,,,,,,,,,,,,,,
93,Christ University,2024,8.26,26.46,15.66,10.61,17.85,16.99,4,0.06,12.57,11.18,9.84,0.82,16.74,21.63,3.16,20,20.18
,,,,,,,,,,,,,,,,,,,
94,Chitkara University,2024,15.47,15.69,9.62,11.82,14.01,17.16,5,0.03,21.32,15,12.02,3.2,19.52,24.35,1.04,20,13.82
,,,,,,,,,,,,,,,,,,,
95,Jain University Bangalore,2024,13.23,28.02,14.98,8.85,11.06,15.56,5,0.54,16.95,12.11,10.96,4.06,15.89,23.27,2.04,20,5.13
,,,,,,,,,,,,,,,,,,,
96,C.V. Raman Global University Odisha,2024,15.38,30,17.16,13.66,0.82,2.66,1,0.36,31.5,15,10.17,0.82,18.11,30,6.11,20,13.17
,,,,,,,,,,,,,,,,,,,
97,National Institute of Technology Puducherry,2024,8.97,22.95,15.39,14.47,8.56,10.83,2,0.59,27.72,15,13.32,2.12,15.19,19.65,11.75,20,9.7
,,,,,,,,,,,,,,,,,,,
98,SR University,2024,13.97,30,18.07,9.08,5.91,8.25,2.5,0.02,29.07,15,8.63,0.6,7.21,29.78,6.6,20,9.34
,,,,,,,,,,,,,,,,,,,
99,R.V. College of Engineering,2024,14,27.03,15.37,11.14,7.34,6.76,2.25,0.31,28.39,15,14.29,1.3,6.94,22.74,2.46,20,19.9
,,,,,,,,,,,,,,,,,,,
100,Siddaganga Institute of Technology,2024,12.42,30,14.78,9.49,6.31,8.09,0.5,0.41,33.23,14.95,12.36,1.23,6.06,28.02,5.73,20,10.06
,,,,,,,,,,,,,,,,,,,
Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
,,,,,,,,,,,,,,,,,,,
1,Indian Institute of Technology Madras,2023,18.5,30,17.3,29.4,35,36.41,15,10,28.54,14.6,20,16.75,21.29,14.11,7.86,20,100
,,,,,,,,,,,,,,,,,,,
2,Indian Institute of Technology Delhi,2023,18.43,26.2,17.05,23.21,34.09,38.72,15,6.94,33.59,13.5,21.18,16.73,22.94,16.65,8.33,20,94.07
,,,,,,,,,,,,,,,,,,,
3,Indian Institute of Technology Bombay,2023,18.5,24,16.09,20.53,31.5,34.4,15,7.04,31.34,13.89,19.5,17.2,19.03,13.46,4.41,20,85.36
,,,,,,,,,,,,,,,,,,,
4,Indian Institute of Technology Kanpur,2023,18.5,25.29,17.36,23.2,28.45,30.39,14,7.32,36.04,15,21.93,16.02,19.94,11.35,7.53,20,76.15
,,,,,,,,,,,,,,,,,,,
5,Indian Institute of Technology Roorkee,2023,17.61,23.7,15.5,17.74,29.63,34.04,10,4.68,37.59,15,20.78,15.54,23.08,11.96,5.38,20,59.37
,,,,,,,,,,,,,,,,,,,
6,Indian Institute of Technology Kharagpur,2023,18.45,20.07,14.03,14.71,30.59,37.26,8,2.44,31.21,13.14,20.33,20,19.62,10.55,5.88,20,75.51
,,,,,,,,,,,,,,,,,,,
7,Indian Institute of Technology Guwahati,2023,18.5,20.99,12.01,16.2,28.74,30.97,10,5.29,32.31,15,22.09,15.61,22.6,11.4,0.95,20,50.09
,,,,,,,,,,,,,,,,,,,
8,Indian Institute of Technology Hyderabad,2023,12.65,30,18.32,22.89,24.53,24.25,7,5.35,31.37,15,21.12,8.43,17.08,15.41,3.46,20,60.04
,,,,,,,,,,,,,,,,,,,
9,National Institute of Technology Tiruchirappalli,2023,17.5,23.39,15.86,16.99,25.69,27.48,6,2.28,35.23,15,17.02,11.57,16.68,20.76,8.41,20,67.98
,,,,,,,,,,,,,,,,,,,
10,Jadavpur University,2023,17.35,29.25,18.97,11.32,27.98,29.01,6,2.91,33.67,15,15.95,12.06,6.54,18.03,8.24,20,35.84
,,,,,,,,,,,,,,,,,,,
11,Vellore Institute of Technology,2023,20,21.54,13.65,7.16,26.96,37.21,11,0.24,27.9,15,13.38,14.11,19.65,21.86,0.12,20,50.21
,,,,,,,,,,,,,,,,,,,
12,National Institute of Technology Karnataka  Surathkal,2023,17.5,22.17,14.23,18.9,23.14,23.44,6,3.51,33.87,15,16.87,11.49,16.65,16.32,9.99,20,48.38
,,,,,,,,,,,,,,,,,,,
13,Anna University,2023,17.59,23.2,13.15,9.98,27.4,32.94,12,2.14,21.6,14.37,11.72,12.25,0.59,25.29,4.14,20,65.5
,,,,,,,,,,,,,,,,,,,
14,Indian Institute of Technology Indore,2023,10.88,29.99,17.79,17.23,25.55,26.3,5,4.04,27.17,15,20.37,9.84,19.96,13.81,5.76,20,24.73
,,,,,,,,,,,,,,,,,,,
15,Indian Institute of Technology (Banaras Hindu University) Varanasi,2023,16.8,17.7,12.35,14.27,23.48,27.98,6,2.56,35.44,15,20.27,11.51,16.77,10.22,9.17,20,53.31
,,,,,,,,,,,,,,,,,,,
16,National Institute of Technology Rourkela,2023,17.5,25.7,17.05,13.71,25.91,27.98,6,1.81,30.41,15,14.52,11.61,15.95,14.41,8.69,20,18.85
,,,,,,,,,,,,,,,,,,,
17,Indian Institute of Technology (Indian School of Mines) Dhanbad,2023,15,21.48,14.7,15.19,26.91,30.33,4,2.35,31.15,12.64,17.91,11.22,19.16,10.32,7.76,20,30.85
,,,,,,,,,,,,,,,,,,,
18,Indian Institute of Technology Gandhinagar,2023,10,30,19.48,23.32,18.05,16.61,2,6.19,29.68,14.57,16.71,7.91,21.18,20.24,4.71,20,35.84
,,,,,,,,,,,,,,,,,,,
19,Amrita Vishwa Vidyapeetham,2023,18,30,18.21,10.22,23.06,21.55,8,1.94,34.36,15,10.21,2.28,17.66,21.95,5.44,20,33.77
,,,,,,,,,,,,,,,,,,,
