Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
20,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2023,17.16,26.57,15.41,11.81,21.75,30.02,9,0.69,31.32,15,15,9.28,17.31,24.97,0.79,20,10.79
,,,,,,,,,,,,,,,,,,,
21,National Institute of Technology Warangal,2023,16.5,24.79,16.34,14.95,20.81,21.81,7,1.23,32.81,15,17.42,9.18,15.94,16.52,4.73,20,34.99
,,,,,,,,,,,,,,,,,,,
22,Indian Institute of Technology Ropar,2023,11.05,28.28,18.13,19.81,17.96,18.73,4,3.84,31.57,15,18.96,5.54,22.29,14.74,7.91,20,32.7
,,,,,,,,,,,,,,,,,,,
23,National Institute of Technology Calicut,2023,16,27.3,17.41,13.33,17.11,17.44,5,1.27,37.17,15,16.24,10.21,15.32,22.89,9.76,20,33.06
,,,,,,,,,,,,,,,,,,,
24,Institute of Chemical Technology,2023,10.82,26.74,18.02,17.36,17.54,19.84,14,4.93,30.76,15,13.54,9.7,7.65,24.91,1.1,20,17.57
,,,,,,,,,,,,,,,,,,,
25,Birla Institute of Technology and Science Pilani,2023,18.84,20.2,13.36,11.77,21.38,26.68,4,0.81,36.98,15,19.66,6.76,19.93,14.43,0.02,20,32.88
,,,,,,,,,,,,,,,,,,,
26,Jamia Millia Islamia,2023,10.5,26.85,14.78,9.77,26.86,26.71,3,3.03,37.84,15,13.02,7.35,22.91,11.78,9.16,20,18.34
,,,,,,,,,,,,,,,,,,,
27,Siksha `O` Anusandhan,2023,17.36,30,15.42,13.74,16.01,19.12,8,1,32.61,15,9.54,8.31,20.88,30,1.3,20,24.07
,,,,,,,,,,,,,,,,,,,
28,S.R.M. Institute of Science and Technology,2023,17.55,23.15,13.16,9.93,24.14,29.73,6,0.31,32.83,14.81,9.54,7.82,18.31,22.49,0.8,20,22.01
,,,,,,,,,,,,,,,,,,,
29,Delhi Technological University,2023,18.9,30,11.96,9.57,18.33,21.47,0.5,0.83,36.74,15,17.44,5.09,14.24,19.6,3.19,20,43.22
,,,,,,,,,,,,,,,,,,,
30,Indian Institute of Technology Jodhpur,2023,11.04,30,18.58,21.34,15.51,16.58,1.5,4.64,35.69,15,18.42,3.97,19.01,20.42,5.42,20,11.7
,,,,,,,,,,,,,,,,,,,
31,Amity University,2023,15.5,27.54,14.73,8.52,24.9,24.96,11,0.61,27.37,15,10.18,5.73,15.99,23.28,0.16,20,13.75
,,,,,,,,,,,,,,,,,,,
32,Aligarh Muslim University,2023,11,30,16.17,12.9,24.95,25.86,7,2.03,29.42,12.61,11.43,5.66,5.38,11.59,3.23,20,24.51
,,,,,,,,,,,,,,,,,,,
33,Indian Institute of Technology Mandi,2023,9.24,22.26,15.21,15.92,17.72,18.13,4,2.62,37.04,13.57,21.25,7.45,20.74,16.29,9.31,20,24.73
,,,,,,,,,,,,,,,,,,,
34,Shanmugha Arts Science Technology and Research Academy,2023,16.47,30,16.75,10.82,16.25,20.99,5,1.9,34.85,15,12.41,6.82,11.72,25.81,0.44,20,11.4
,,,,,,,,,,,,,,,,,,,
35,Indian Institute of Engineering Science and Technology Shibpur,2023,13.44,22.64,14.55,12.83,20.81,20.29,3,1.58,32.35,14.88,13.52,10.72,11.94,17.14,9.83,20,31.97
,,,,,,,,,,,,,,,,,,,
36,Kalasalingam Academy of Research and Education,2023,16.47,30,17.59,10.07,13.85,17.78,4,0.6,34.88,15,10.62,8,17.53,30,7.8,20,13.46
,,,,,,,,,,,,,,,,,,,
37,Malaviya National Institute of Technology,2023,15.25,23.51,15.72,11.22,21.18,23.22,5,1.86,29.41,15,14.4,8.08,12.94,19.12,7.5,20,11.7
,,,,,,,,,,,,,,,,,,,
38,Chandigarh University,2023,18.95,30,16.64,10.11,8.41,13.28,9,0.35,23.69,15,12.56,7.94,25,30,4.56,20,33.77
,,,,,,,,,,,,,,,,,,,
39,Kalinga Institute of Industrial Technology,2023,20,25.27,15.82,11.51,13.84,18.03,10,0.46,20.69,15,11.15,10.44,25.66,29.86,1.86,20,14.59
,,,,,,,,,,,,,,,,,,,
40,National Institute of Technology Silchar,2023,13.34,21.04,14.23,12.25,22.65,23.74,7,1.19,33.26,15,14.72,6.79,14,15.33,4.02,20,11.4
,,,,,,,,,,,,,,,,,,,
41,Indian Institute of Technology Patna,2023,10.99,17.84,11.84,16.27,22.35,22.3,3,3.75,30.46,13.68,19.77,8.34,18.76,10.37,7.02,20,24.73
,,,,,,,,,,,,,,,,,,,
42,Visvesvaraya National Institute of Technology Nagpur,2023,14.04,22.45,15.13,13.51,17.12,17.29,10,2.62,35.07,15,15.58,7.12,12.63,17.29,3.48,20,14.88
,,,,,,,,,,,,,,,,,,,
43,National Institute of Technology Durgapur,2023,14.42,22.14,14.27,13.11,18.64,19.06,2,1.62,35.84,15,13.99,9.38,14.54,13.1,8.16,20,19.1
,,,,,,,,,,,,,,,,,,,
44,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2023,17.43,30,17.2,6.3,19.9,19.87,6,0.37,24.27,15,11.36,7.29,10.15,25.8,0.48,20,13.46
,,,,,,,,,,,,,,,,,,,
45,Sri Sivasubramaniya Nadar College of Engineering,2023,12.5,28.32,16.13,10.73,18.75,18.42,3,0.91,33.47,15,12.25,6.22,3.89,25.52,3.81,20,15.43
,,,,,,,,,,,,,,,,,,,
46,Dr. B R Ambedkar National Institute of Technology Jalandhar,2023,15.59,29.21,13.96,9.23,14.88,18.38,3,0.5,25.83,15,13.59,6.44,14.24,25.14,8.38,20,24.73
,,,,,,,,,,,,,,,,,,,
47,Indian Institute of Technology Bhubaneswar,2023,10.95,20.18,13.92,15.3,15.66,16.86,2,2.82,33.73,15,19.01,6.41,21.19,10,6.48,20,24.95
,,,,,,,,,,,,,,,,,,,
48,Indian Institute of Space Science and Technology,2023,7.19,30,16.85,19.03,11.1,10.45,2,0.89,30.33,13.86,16.27,2.95,19.62,17.72,4.38,20,39.39
,,,,,,,,,,,,,,,,,,,
49,Motilal Nehru National Institute of Technology,2023,16.01,16.61,11.34,13.18,16.27,18.2,4,1.9,36.73,15,16.84,9,12.93,12.04,9.82,20,16.51
,,,,,,,,,,,,,,,,,,,
50,Lovely Professional University,2023,18,23.53,12.72,5.39,14.69,21.73,13,0.1,20.21,15,11.19,2.79,24.43,19.08,0,20,25.39
,,,,,,,,,,,,,,,,,,,
51,National Institute of Technology Delhi,2023,6.79,30,17.95,13.72,13.96,13.61,1.5,0.77,29.74,15,16.62,2.22,18.88,22.52,11.01,20,19.6
,,,,,,,,,,,,,,,,,,,
52,Visvesvaraya Technological University,2023,7.11,26.64,13.59,18.6,26.29,20.26,3,0.42,28.1,14.61,8.72,1.22,0.36,28.02,3.56,20,8.91
,,,,,,,,,,,,,,,,,,,
53,Birla Institute of Technology,2023,12.52,27.61,16.44,11.19,17.8,17.36,0.5,1.35,25.77,13.74,15.13,4.92,11.49,18.9,1.01,20,22.01
,,,,,,,,,,,,,,,,,,,
54,UPES,2023,14.5,26.42,15.52,11.01,15.07,18.07,6,0.31,20.32,15,10.23,0.52,21.31,21.36,0.07,20,30.66
,,,,,,,,,,,,,,,,,,,
55,International Institute of Information Technology Hyderabad,2023,9.5,20.58,14.25,12.24,17.02,17.15,3,3.44,25.64,12.02,25,2.34,21.3,16.64,0.43,20,23.4
,,,,,,,,,,,,,,,,,,,
56,National Institute of Technology Patna,2023,12.86,22.14,14.85,11.64,17.22,19.39,1.5,1.65,35.4,15,14.14,5.73,9.98,12.27,10.03,20,4.87
,,,,,,,,,,,,,,,,,,,
57,Defence Institute of Advanced Technology,2023,5,29.46,18.12,16.45,15.06,15.41,5,6.3,20.74,9.87,20.82,2.62,14.14,24.02,0,20,2.69
,,,,,,,,,,,,,,,,,,,
58,National Institute of Technology Kurukshetra,2023,15.11,17.78,10.16,11.9,17.42,19.92,3,0.86,29.09,15,12.25,4.21,14.59,16.08,3.46,20,35.17
,,,,,,,,,,,,,,,,,,,
59,Indian Institute of Technology Tirupati,2023,9.32,30,17.17,19,6.54,8.8,0.5,2.65,30.88,15,16.45,0.38,16.22,12.23,9.7,20,32.52
,,,,,,,,,,,,,,,,,,,
60,Netaji Subhas University of Technology (NSUT),2023,16.21,28.53,15.35,8.87,9.14,12.42,1.5,0.39,34.73,15,18.8,7.03,5.24,18.66,2.36,20,22.25
,,,,,,,,,,,,,,,,,,,
61,Manipal Institute of Technology,2023,16.34,27.77,13.86,7.77,14.76,18.76,2,0.13,21.84,15,13.34,3.83,19.03,21.71,1.51,20,21.78
,,,,,,,,,,,,,,,,,,,
62,Graphic Era University,2023,14,25.4,14.15,10.55,9.58,12.29,10,0.26,24.51,15,11.18,3.06,19.92,28.19,0.43,20,31.23
,,,,,,,,,,,,,,,,,,,
63,PSG College of Technology,2023,14.71,28.01,13.97,7.81,10.31,13.18,6,0.49,26.07,14.52,11.25,3.06,1.04,24.05,2.12,20,53.86
,,,,,,,,,,,,,,,,,,,
64,Saveetha Institute of Medical and Technical Sciences,2023,15.5,28.73,19.38,7.77,18.01,19.73,8,0.28,9.75,15,8.96,1.15,20.24,22.93,6.17,20,1.94
,,,,,,,,,,,,,,,,,,,
65,Sardar Vallabhbhai National Institute of Technology,2023,14.05,19.62,13.22,10.9,16.67,18.18,5,1.09,31.08,14.74,13.82,6.37,12.14,15.85,3.58,20,10.17
,,,,,,,,,,,,,,,,,,,
66,Sathyabama Institute of Science and Technology,2023,15.46,25.28,13.13,7.17,16.99,18.53,8,0.52,19.11,13.64,9.3,5.46,18.34,26.13,2.28,20,11.7
,,,,,,,,,,,,,,,,,,,
67,Indian Institute of Technology Jammu,2023,8.08,30,16.94,19.6,7.73,10.46,0,3.33,25.38,14.52,17.2,0.23,19.91,11.3,5.35,20,22.01
,,,,,,,,,,,,,,,,,,,
68,Banasthali Vidyapith,2023,11.49,27.77,16.58,8.58,7.86,10.59,2,0.81,36.89,15,12.41,8.23,18.55,30,4.49,20,4.16
,,,,,,,,,,,,,,,,,,,
69,Indian Institute of Technology Palakkad,2023,7.56,30,16.47,17.94,6.78,7.86,0,2.86,29.88,15,16.15,0.15,19.94,21.24,4.79,20,21.78
,,,,,,,,,,,,,,,,,,,
70,National Institute of Technology Raipur,2023,14.08,19.33,12.8,9.39,17.92,19.4,2.5,0.54,28.07,15,14.59,6.69,11.92,15.48,8.41,20,4.51
,,,,,,,,,,,,,,,,,,,
71,University of Hyderabad,2023,2.89,27.2,17.77,11.5,23.58,21.05,0,1.29,24.62,11.23,12.79,5.7,5.53,17.67,0,20,7.27
,,,,,,,,,,,,,,,,,,,
72,National Institute of Technology Meghalaya,2023,5.81,30,18.37,13.38,14.73,13.62,1,2.02,29.07,13.1,13.33,2.16,9.13,16.9,9.37,20,5.22
,,,,,,,,,,,,,,,,,,,
73,College of Engineering Pune,2023,11.5,26.88,13.35,13.77,8.12,7.1,5,2.4,35.25,15,14.9,1.73,2.13,23.99,5.5,20,19.1
,,,,,,,,,,,,,,,,,,,
74,International Institute of Information Technology Bangalore,2023,6.16,21.96,13.08,26.04,7.92,4.68,1,7.27,24.11,14.92,23.16,0.88,21.77,16.84,0,20,16.78
,,,,,,,,,,,,,,,,,,,
75,Indraprastha Institute of Information Technology,2023,11.42,16.85,11.48,12.24,16.35,16,1,3.33,31.51,15,20,3.38,10.56,16.1,0.67,20,12.59
,,,,,,,,,,,,,,,,,,,
76,Manipal University Jaipur,2023,12.97,23.44,13.86,8.3,11.92,14.18,7,0.19,34.05,15,11.38,0.81,20.94,22.38,0.19,20,2.32
,,,,,,,,,,,,,,,,,,,
77,Sri Krishna College of Engineering and Technology,2023,11.89,27.88,13.38,10.52,8.29,9.99,6,0.27,37.29,15,11.07,0.74,1.06,25.72,3.17,20,17.57
,,,,,,,,,,,,,,,,,,,
78,M. S. Ramaiah Institute of Technology,2023,13.75,28.34,15.27,8.43,7.6,9.35,5,0.35,33.3,15,11.65,1.98,8.74,25.19,1.73,20,15.97
,,,,,,,,,,,,,,,,,,,
79,Rajiv Gandhi Institute of Petroleum Technology,2023,8,29.47,18.57,20.64,3.02,7.11,0,2.43,37.12,15,13.87,2.51,18.19,13.02,3.36,20,0.4
,,,,,,,,,,,,,,,,,,,
80,Maulana Azad National Institute of Technology,2023,15.45,17.51,11.92,9.15,13.16,15.85,3,0.75,31.66,15,15.3,3.83,12.52,18.14,10.01,20,6.26
,,,,,,,,,,,,,,,,,,,
81,Indian Institute of Technology Bhilai,2023,6.59,30,16.83,19.67,4.72,6.11,0,2.71,32.56,15,17.39,0.59,23.08,8.99,7.22,20,8.26
,,,,,,,,,,,,,,,,,,,
82,National Institute of Technology Srinagar,2023,13.01,19.3,13.03,13.1,11.01,12.69,2,0.92,30.57,15,13.58,5.73,12.17,14.81,12.68,20,12.3
,,,,,,,,,,,,,,,,,,,
83,Jawaharlal Nehru Technological University,2023,14,23.83,12.47,15.62,10.31,10.74,4,2.57,24.04,12.47,10.09,3.12,2.48,26.45,6.24,20,12.3
,,,,,,,,,,,,,,,,,,,
84,Guru Gobind Singh Indraprastha University,2023,9.5,23.98,13.84,8.01,16.84,15.66,0.5,0.7,23.95,15,14.04,3.27,6.23,21.1,1.21,18,17.04
,,,,,,,,,,,,,,,,,,,
85,Vignan's Foundation for Science  Technology and Research,2023,13.85,30,15.2,4.16,8.41,10.44,8,0.33,20.87,14.71,10.14,2.95,8.91,26.36,5.86,20,7.93
,,,,,,,,,,,,,,,,,,,
86,Rajalakshmi Engineering College,2023,14.3,29.03,14.52,7.69,2.99,5.85,5,0.78,34.53,15,10.09,2.68,6.4,27.81,9.08,20,6.26
,,,,,,,,,,,,,,,,,,,
87,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,2023,13.1,28.55,13.72,4.12,12.56,15.02,7,0.2,16.54,12.19,9.08,0.52,20.33,19.31,6.27,20,8.91
,,,,,,,,,,,,,,,,,,,
88,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,2023,6.43,20.39,14.31,11.42,9.42,10.54,0,0.86,36.83,15,21.4,1.41,22.1,12.54,3.44,20,6.6
,,,,,,,,,,,,,,,,,,,
89,Indian Institute of Information Technology Allahabad,2023,10.38,15.27,10.46,8.9,9.45,10.23,1.5,0.75,34.25,15,23.23,4.84,17.66,12.36,3.61,20,23.85
,,,,,,,,,,,,,,,,,,,
90,National Institute of Technology Goa,2023,5.84,25.61,16.5,11.3,11.01,10.76,1.5,0.66,27.2,13.63,13.34,2.51,16.46,19.27,2.74,20,11.4
,,,,,,,,,,,,,,,,,,,
91,National Institute of Technology Agartala,2023,12.4,19.51,12.49,9.97,11.28,14.18,2.5,0.25,28.53,13.32,12.96,4.57,12.25,18.7,8.66,20,6.26
,,,,,,,,,,,,,,,,,,,
92,Chitkara University,2023,14.43,15.15,9.23,8.7,8.62,11.97,10,0.29,24.28,14.51,12.34,1.22,17.6,24.84,0.41,20,22.25
,,,,,,,,,,,,,,,,,,,
93,Indian Institute Of Technology Dharwad,2023,7,26.51,14.75,16.59,5.23,7.3,0,2.63,26.67,15,15.54,0.15,22.81,13.89,2.47,0,29.69
,,,,,,,,,,,,,,,,,,,
94,AU College of Engineering Visakhapatnam,2023,12.5,20.56,11.69,14.42,4.13,4.52,3,1.33,38.72,15,11.16,7.19,2.51,28.1,6.19,20,5.92
,,,,,,,,,,,,,,,,,,,
95,National Institute of Technology Manipur,2023,7.15,29.66,15.94,10.31,8.09,10.73,1,0.79,23.78,13.75,12.94,2.9,10.62,20.47,10.14,20,3.79
,,,,,,,,,,,,,,,,,,,
96,R.V. College of Engineering,2023,14,27.15,14.87,7.54,7.09,6.62,3,0.34,26.46,15,14.69,1.02,7.13,22.62,2.29,20,14.03
,,,,,,,,,,,,,,,,,,,
97,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology  Design and Manufacturing (IIITDM),2023,8.83,15.12,10.32,10.38,12.97,15.16,1.5,0.84,33.64,15,15.59,4.21,19.69,10.24,6.09,20,3.06
,,,,,,,,,,,,,,,,,,,
98,SR University,2023,10.93,30,17.52,6.87,4.86,7.9,3,0.04,26.78,15,9.82,0.38,6.63,29.67,6.36,20,10.79
,,,,,,,,,,,,,,,,,,,
99,Amity University Haryana  Gurgaon,2023,7.89,30,19.07,7.19,7.37,9.42,4,0.94,19.08,15,9.24,1.98,14.79,26.12,2.83,20,7.93
,,,,,,,,,,,,,,,,,,,
100,C.V. Raman Global University Odisha,2023,14.3,29.13,16.74,9.62,0.49,1.84,3,0.37,32.59,15,10.45,0.23,17.9,26.41,5.64,20,6.26
,,,,,,,,,,,,,,,,,,,
Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
,,,,,,,,,,,,,,,,,,,
1,Indian Institute of Technology Madras,2022,18.5,30,17.5,28.61,35,37.68,15,9.98,27.78,14.88,20.56,17.2,21.6,13.34,7.91,20,100
,,,,,,,,,,,,,,,,,,,
2,Indian Institute of Technology Delhi,2022,18.5,26.54,17.31,24.59,34.5,39.78,15,6.73,32.14,13.6,21.57,16.11,23.7,16.91,7.95,20,96.92
,,,,,,,,,,,,,,,,,,,
3,Indian Institute of Technology Bombay,2022,18.5,30,18.24,20.79,32.31,35.95,15,7.56,30.35,14.18,19.74,14.92,18.74,14.06,4.57,20,88.7
,,,,,,,,,,,,,,,,,,,
4,Indian Institute of Technology Kanpur,2022,18.5,26.64,18.11,24.7,29.18,31.34,12,7.46,36.47,15,22,16.23,21.64,9.96,7.87,20,83.01
,,,,,,,,,,,,,,,,,,,
5,Indian Institute of Technology Kharagpur,2022,19.31,25.19,16.89,17.82,32.13,39.11,10,3.36,25.93,14.1,20.88,20,21.09,11.89,5.1,15,82.63
,,,,,,,,,,,,,,,,,,,
6,Indian Institute of Technology Roorkee,2022,18.23,23.74,15.34,18.67,30.82,35.44,7,4.85,37.3,15,21.57,16.26,24.44,11.95,6.7,20,61.36
,,,,,,,,,,,,,,,,,,,
7,Indian Institute of Technology Guwahati,2022,16.45,26.34,14.75,18.35,29.91,32.51,5,5.47,31.6,15,22.1,15.94,23.51,11.49,1.9,20,57.15
,,,,,,,,,,,,,,,,,,,
8,National Institute of Technology Tiruchirappalli,2022,17.5,24.32,16.49,18.08,25.02,26.73,4,2.69,35.44,15,17.38,11.35,16.69,20.5,7.29,20,64.38
,,,,,,,,,,,,,,,,,,,
9,Indian Institute of Technology Hyderabad,2022,11.28,30,17.95,21.08,23.62,23.65,7,5.62,29.48,15,20.89,7.03,16.82,14.97,3.06,20,59.96
,,,,,,,,,,,,,,,,,,,
10,National Institute of Technology Karnataka  Surathkal,2022,16,23.63,15.01,18.22,23.82,23.56,6,3.04,34.51,15,16.68,11.51,16.78,16.72,10.39,20,53.24
,,,,,,,,,,,,,,,,,,,
11,Jadavpur University,2022,15.96,26.43,17.02,11.97,28.43,29.76,3,3.23,34.44,15,16.58,12.1,6.15,18.04,8.15,20,40.97
,,,,,,,,,,,,,,,,,,,
12,Vellore Institute of Technology,2022,18.6,21.37,14.18,8.39,27.15,36.93,9,0.22,26.62,15,13.42,14.41,18.14,21.01,0.12,20,49.6
,,,,,,,,,,,,,,,,,,,
13,Indian Institute of Technology (Banaras Hindu University) Varanasi,2022,17.49,17.57,12.31,15.25,22.59,27.26,5,2.41,35.57,15,20.45,10.7,17.31,9.86,8.89,20,55.89
,,,,,,,,,,,,,,,,,,,
14,Indian Institute of Technology (Indian School of Mines) Dhanbad,2022,14.65,22.29,15.05,16.71,28.31,31.19,3,2.87,30.04,13.89,17.41,9.83,18.67,7.95,7.73,20,36.23
,,,,,,,,,,,,,,,,,,,
15,National Institute of Technology Rourkela,2022,18.5,24.68,16.9,13.31,26.08,28.84,3,1.53,30.85,15,14.19,11.76,15.66,14.96,6.46,20,24.43
,,,,,,,,,,,,,,,,,,,
16,Indian Institute of Technology Indore,2022,10.09,30,16.88,19.31,24.68,26.37,2,3.7,25.31,15,20.53,9.54,17.76,11.56,3.16,20,24.43
,,,,,,,,,,,,,,,,,,,
17,Anna University,2022,17.21,23.28,13.15,10.69,24.56,30.87,7,2.16,19.65,14.62,12.12,11.41,0.65,24.7,3.52,20,62.83
,,,,,,,,,,,,,,,,,,,
18,Institute of Chemical Technology,2022,10.29,27.14,17.87,21.15,18.24,20.92,13,4.82,30.8,15,13.34,10.39,7.28,24.59,2.71,20,19.95
,,,,,,,,,,,,,,,,,,,
19,Amrita Vishwa Vidyapeetham,2022,17,27.13,14.76,10.08,26.4,22.8,8,1.44,32.7,15,10.87,2.83,18.46,22.02,1.28,20,41.78
,,,,,,,,,,,,,,,,,,,
20,Indian Institute of Technology Mandi,2022,9.33,27.54,18.54,20.36,18.75,18.3,4,3,35.96,14.55,20.43,6.61,21.11,19.14,6.91,20,22.57
,,,,,,,,,,,,,,,,,,,
21,National Institute of Technology Warangal,2022,16.5,24.99,16.66,15.84,19.67,20.81,3,2.22,34.03,15,16.72,9.36,15.69,14.97,4.25,20,35.77
,,,,,,,,,,,,,,,,,,,
22,Indian Institute of Technology Ropar,2022,11.28,30,17.86,21.93,15.66,17.3,2,3.83,30.1,15,18.81,4.85,23.11,14.67,5.89,20,30.87
,,,,,,,,,,,,,,,,,,,
23,Indian Institute of Technology  Gandhinagar,2022,11.5,27.52,17.66,23.51,16.44,14.82,1.5,6.32,27.92,13.66,15.76,7.29,21,14.97,4.5,20,35.07
,,,,,,,,,,,,,,,,,,,
24,S.R.M. Institute of Science and Technology,2022,18.3,20.97,12.01,9.92,22.24,27.67,9,0.3,34.82,15,9.86,7.49,19.46,21.48,0.82,20,22.89
,,,,,,,,,,,,,,,,,,,
25,Amity University,2022,14.72,30,15.97,9.26,26.46,24.11,11,0.62,25.36,15,10.16,5.15,14.31,22.51,0.51,20,12.19
,,,,,,,,,,,,,,,,,,,
26,Jamia Millia Islamia,2022,10.5,25.38,13.89,9.77,25.78,26.06,3,2.61,36.92,15,14.83,6.79,21.79,10.17,8.98,20,16.07
,,,,,,,,,,,,,,,,,,,
27,Siksha `O` Anusandhan,2022,17.11,30,14.79,14.04,14.54,18.54,6,0.94,35.44,15,9.86,8.42,18.32,30,1.22,20,19.95
,,,,,,,,,,,,,,,,,,,
28,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2022,16.51,18.09,12.19,12.73,21.68,30.1,4.5,0.69,32.98,15,14.9,8.31,14.06,19.7,0.79,20,25.33
,,,,,,,,,,,,,,,,,,,
29,Birla Institute of Technology and Science Pilani,2022,17.43,18.59,12.32,12.51,19.06,23.56,3,0.66,37.75,15,19.68,5.84,21.45,12.69,0.05,20,36.91
,,,,,,,,,,,,,,,,,,,
30,Indian Institute of Technology Jodhpur,2022,10.3,29.32,17.98,20.82,13.73,14.61,3,3.59,36.38,15,18.36,4.67,20.13,20.59,5.72,20,11.78
,,,,,,,,,,,,,,,,,,,
31,National Institute of Technology Calicut,2022,16.64,22.56,14.91,13.02,15.82,16.4,3,1.09,35.85,15,15.57,10.44,13.24,21.19,9.29,20,38.88
,,,,,,,,,,,,,,,,,,,
32,Visvesvaraya National Institute of Technology Nagpur,2022,14.25,22.44,14.96,14.74,18.46,18.53,9,2.87,37.27,15,15.1,8.28,13.16,16.47,3.52,20,16.07
,,,,,,,,,,,,,,,,,,,
33,Indian Institute of Technology Patna,2022,10.58,25.87,16.27,18.73,22.06,21.15,2,2.57,25.09,12.02,18.81,6.47,16.78,9.47,5.22,20,27.92
,,,,,,,,,,,,,,,,,,,
34,National Institute of Technology Durgapur,2022,13.04,24.08,16.17,14.32,19.79,19.84,2,1.68,35.32,15,14.46,7.98,14.26,13.52,9.98,20,21.61
,,,,,,,,,,,,,,,,,,,
35,Delhi Technological University,2022,18.07,28.91,11.74,10.25,14.83,18.54,0.5,0.9,35.64,15,17.57,5.15,14.29,19.83,2.04,20,42.38
,,,,,,,,,,,,,,,,,,,
36,Indian Institute of Technology Bhubaneswar,2022,11.7,24.55,16.31,17.53,15.99,16.74,1,3.17,30.55,14.99,18.86,5.6,23.23,10.86,6.69,20,29.29
,,,,,,,,,,,,,,,,,,,
37,Aligarh Muslim University,2022,12,30,16.02,12.88,23.65,25.4,3,1.77,26.77,12.61,11.94,5.68,5.89,11.72,4.76,20,16.43
,,,,,,,,,,,,,,,,,,,
38,National Institute of Technology  Silchar,2022,14.37,23.06,15.47,12.58,21.17,21.92,4,0.91,30.49,15,14.21,7.1,14.27,16,7.31,20,14.56
,,,,,,,,,,,,,,,,,,,
39,Kalasalingam Academy of Research and Education,2022,16.24,30,17.37,9.99,11.2,15.55,4,1.51,32.98,15,10.62,6.22,17.11,30,7.23,20,24.73
,,,,,,,,,,,,,,,,,,,
